Date,ads,date,hour,weekday,month
2017-08-04 22:00:00,47458,2017-08-04,22,Friday,8
2017-08-04 23:00:00,47748,2017-08-04,23,Friday,8
2017-08-05 00:00:00,46454,2017-08-05,0,Saturday,8
2017-08-05 01:00:00,44644,2017-08-05,1,Saturday,8
2017-08-05 02:00:00,43024,2017-08-05,2,Saturday,8
2017-08-05 03:00:00,40965,2017-08-05,3,Saturday,8
2017-08-05 04:00:00,38612,2017-08-05,4,Saturday,8
2017-08-05 05:00:00,37204,2017-08-05,5,Saturday,8
2017-08-05 06:00:00,36675,2017-08-05,6,Saturday,8
2017-08-05 07:00:00,35793,2017-08-05,7,Saturday,8
2017-08-05 08:00:00,34619,2017-08-05,8,Saturday,8
2017-08-05 09:00:00,32478,2017-08-05,9,Saturday,8
2017-08-05 10:00:00,31946,2017-08-05,10,Saturday,8
2017-08-05 11:00:00,32160,2017-08-05,11,Saturday,8
2017-08-05 12:00:00,34386,2017-08-05,12,Saturday,8
2017-08-05 13:00:00,37127,2017-08-05,13,Saturday,8
2017-08-05 14:00:00,39756,2017-08-05,14,Saturday,8
2017-08-05 15:00:00,37690,2017-08-05,15,Saturday,8
2017-08-05 16:00:00,40521,2017-08-05,16,Saturday,8
2017-08-05 17:00:00,44935,2017-08-05,17,Saturday,8
2017-08-05 18:00:00,46760,2017-08-05,18,Saturday,8
2017-08-05 19:00:00,48561,2017-08-05,19,Saturday,8
2017-08-05 20:00:00,49723,2017-08-05,20,Saturday,8
2017-08-05 21:00:00,51836,2017-08-05,21,Saturday,8
2017-08-05 22:00:00,48950,2017-08-05,22,Saturday,8
2017-08-05 23:00:00,48369,2017-08-05,23,Saturday,8
2017-08-06 00:00:00,45990,2017-08-06,0,Sunday,8
2017-08-06 01:00:00,45116,2017-08-06,1,Sunday,8
2017-08-06 02:00:00,44082,2017-08-06,2,Sunday,8
2017-08-06 03:00:00,42906,2017-08-06,3,Sunday,8
2017-08-06 04:00:00,39726,2017-08-06,4,Sunday,8
2017-08-06 05:00:00,37505,2017-08-06,5,Sunday,8
2017-08-06 06:00:00,36564,2017-08-06,6,Sunday,8
2017-08-06 07:00:00,36664,2017-08-06,7,Sunday,8
2017-08-06 08:00:00,34800,2017-08-06,8,Sunday,8
2017-08-06 09:00:00,33793,2017-08-06,9,Sunday,8
2017-08-06 10:00:00,32162,2017-08-06,10,Sunday,8
2017-08-06 11:00:00,32530,2017-08-06,11,Sunday,8
2017-08-06 12:00:00,33822,2017-08-06,12,Sunday,8
2017-08-06 13:00:00,34196,2017-08-06,13,Sunday,8
2017-08-06 14:00:00,35782,2017-08-06,14,Sunday,8
2017-08-06 15:00:00,34945,2017-08-06,15,Sunday,8
2017-08-06 16:00:00,38735,2017-08-06,16,Sunday,8
2017-08-06 17:00:00,42388,2017-08-06,17,Sunday,8
2017-08-06 18:00:00,45911,2017-08-06,18,Sunday,8
2017-08-06 19:00:00,48359,2017-08-06,19,Sunday,8
2017-08-06 20:00:00,48789,2017-08-06,20,Sunday,8
2017-08-06 21:00:00,49199,2017-08-06,21,Sunday,8
2017-08-06 22:00:00,49724,2017-08-06,22,Sunday,8
2017-08-06 23:00:00,47776,2017-08-06,23,Sunday,8
2017-08-07 00:00:00,45420,2017-08-07,0,Monday,8
2017-08-07 01:00:00,45589,2017-08-07,1,Monday,8
2017-08-07 02:00:00,43125,2017-08-07,2,Monday,8
2017-08-07 03:00:00,41715,2017-08-07,3,Monday,8
2017-08-07 04:00:00,41054,2017-08-07,4,Monday,8
2017-08-07 05:00:00,38676,2017-08-07,5,Monday,8
2017-08-07 06:00:00,38489,2017-08-07,6,Monday,8
2017-08-07 07:00:00,35313,2017-08-07,7,Monday,8
2017-08-07 08:00:00,34756,2017-08-07,8,Monday,8
2017-08-07 09:00:00,33537,2017-08-07,9,Monday,8
2017-08-07 10:00:00,32204,2017-08-07,10,Monday,8
2017-08-07 11:00:00,32920,2017-08-07,11,Monday,8
2017-08-07 12:00:00,33745,2017-08-07,12,Monday,8
2017-08-07 13:00:00,36117,2017-08-07,13,Monday,8
2017-08-07 14:00:00,37729,2017-08-07,14,Monday,8
2017-08-07 15:00:00,36304,2017-08-07,15,Monday,8
2017-08-07 16:00:00,40054,2017-08-07,16,Monday,8
2017-08-07 17:00:00,44467,2017-08-07,17,Monday,8
2017-08-07 18:00:00,47528,2017-08-07,18,Monday,8
2017-08-07 19:00:00,49087,2017-08-07,19,Monday,8
2017-08-07 20:00:00,50488,2017-08-07,20,Monday,8
2017-08-07 21:00:00,50996,2017-08-07,21,Monday,8
2017-08-07 22:00:00,51078,2017-08-07,22,Monday,8
2017-08-07 23:00:00,49822,2017-08-07,23,Monday,8
2017-08-08 00:00:00,46662,2017-08-08,0,Tuesday,8
2017-08-08 01:00:00,45270,2017-08-08,1,Tuesday,8
2017-08-08 02:00:00,43989,2017-08-08,2,Tuesday,8
2017-08-08 03:00:00,42538,2017-08-08,3,Tuesday,8
2017-08-08 04:00:00,40866,2017-08-08,4,Tuesday,8
2017-08-08 05:00:00,39692,2017-08-08,5,Tuesday,8
2017-08-08 06:00:00,38662,2017-08-08,6,Tuesday,8
2017-08-08 07:00:00,37216,2017-08-08,7,Tuesday,8
2017-08-08 08:00:00,36397,2017-08-08,8,Tuesday,8
2017-08-08 09:00:00,35048,2017-08-08,9,Tuesday,8
2017-08-08 10:00:00,34658,2017-08-08,10,Tuesday,8
2017-08-08 11:00:00,35913,2017-08-08,11,Tuesday,8
2017-08-08 12:00:00,39906,2017-08-08,12,Tuesday,8
2017-08-08 13:00:00,43533,2017-08-08,13,Tuesday,8
2017-08-08 14:00:00,45028,2017-08-08,14,Tuesday,8
2017-08-08 15:00:00,44010,2017-08-08,15,Tuesday,8
2017-08-08 16:00:00,46169,2017-08-08,16,Tuesday,8
2017-08-08 17:00:00,50015,2017-08-08,17,Tuesday,8
2017-08-08 18:00:00,54464,2017-08-08,18,Tuesday,8
2017-08-08 19:00:00,58523,2017-08-08,19,Tuesday,8
2017-08-08 20:00:00,57088,2017-08-08,20,Tuesday,8
2017-08-08 21:00:00,59309,2017-08-08,21,Tuesday,8
2017-08-08 22:00:00,56528,2017-08-08,22,Tuesday,8
2017-08-08 23:00:00,56795,2017-08-08,23,Tuesday,8
2017-08-09 00:00:00,54311,2017-08-09,0,Wednesday,8
2017-08-09 01:00:00,51724,2017-08-09,1,Wednesday,8
2017-08-09 02:00:00,49447,2017-08-09,2,Wednesday,8
2017-08-09 03:00:00,46956,2017-08-09,3,Wednesday,8
2017-08-09 04:00:00,45625,2017-08-09,4,Wednesday,8
2017-08-09 05:00:00,44885,2017-08-09,5,Wednesday,8
2017-08-09 06:00:00,45152,2017-08-09,6,Wednesday,8
2017-08-09 07:00:00,42475,2017-08-09,7,Wednesday,8
2017-08-09 08:00:00,40337,2017-08-09,8,Wednesday,8
2017-08-09 09:00:00,38265,2017-08-09,9,Wednesday,8
2017-08-09 10:00:00,37396,2017-08-09,10,Wednesday,8
2017-08-09 11:00:00,35274,2017-08-09,11,Wednesday,8
2017-08-09 12:00:00,37696,2017-08-09,12,Wednesday,8
2017-08-09 13:00:00,38848,2017-08-09,13,Wednesday,8
2017-08-09 14:00:00,40022,2017-08-09,14,Wednesday,8
2017-08-09 15:00:00,40947,2017-08-09,15,Wednesday,8
2017-08-09 16:00:00,42620,2017-08-09,16,Wednesday,8
2017-08-09 17:00:00,46929,2017-08-09,17,Wednesday,8
2017-08-09 18:00:00,51143,2017-08-09,18,Wednesday,8
2017-08-09 19:00:00,53397,2017-08-09,19,Wednesday,8
2017-08-09 20:00:00,54146,2017-08-09,20,Wednesday,8
2017-08-09 21:00:00,55991,2017-08-09,21,Wednesday,8
2017-08-09 22:00:00,56517,2017-08-09,22,Wednesday,8
2017-08-09 23:00:00,57129,2017-08-09,23,Wednesday,8
2017-08-10 00:00:00,54841,2017-08-10,0,Thursday,8
2017-08-10 01:00:00,53266,2017-08-10,1,Thursday,8
2017-08-10 02:00:00,51497,2017-08-10,2,Thursday,8
2017-08-10 03:00:00,48029,2017-08-10,3,Thursday,8
2017-08-10 04:00:00,46162,2017-08-10,4,Thursday,8
2017-08-10 05:00:00,44376,2017-08-10,5,Thursday,8
2017-08-10 06:00:00,44796,2017-08-10,6,Thursday,8
2017-08-10 07:00:00,44152,2017-08-10,7,Thursday,8
2017-08-10 08:00:00,42017,2017-08-10,8,Thursday,8
2017-08-10 09:00:00,39388,2017-08-10,9,Thursday,8
2017-08-10 10:00:00,38347,2017-08-10,10,Thursday,8
2017-08-10 11:00:00,39391,2017-08-10,11,Thursday,8
2017-08-10 12:00:00,40869,2017-08-10,12,Thursday,8
2017-08-10 13:00:00,42794,2017-08-10,13,Thursday,8
2017-08-10 14:00:00,45188,2017-08-10,14,Thursday,8
2017-08-10 15:00:00,44537,2017-08-10,15,Thursday,8
2017-08-10 16:00:00,47473,2017-08-10,16,Thursday,8
2017-08-10 17:00:00,51623,2017-08-10,17,Thursday,8
2017-08-10 18:00:00,55256,2017-08-10,18,Thursday,8
2017-08-10 19:00:00,57588,2017-08-10,19,Thursday,8
2017-08-10 20:00:00,57763,2017-08-10,20,Thursday,8
2017-08-10 21:00:00,58934,2017-08-10,21,Thursday,8
2017-08-10 22:00:00,60812,2017-08-10,22,Thursday,8
2017-08-10 23:00:00,59800,2017-08-10,23,Thursday,8
2017-08-11 00:00:00,58538,2017-08-11,0,Friday,8
2017-08-11 01:00:00,57351,2017-08-11,1,Friday,8
2017-08-11 02:00:00,55531,2017-08-11,2,Friday,8
2017-08-11 03:00:00,54362,2017-08-11,3,Friday,8
2017-08-11 04:00:00,53220,2017-08-11,4,Friday,8
2017-08-11 05:00:00,54285,2017-08-11,5,Friday,8
2017-08-11 06:00:00,39255,2017-08-11,6,Friday,8
2017-08-11 07:00:00,38759,2017-08-11,7,Friday,8
2017-08-11 08:00:00,38476,2017-08-11,8,Friday,8
2017-08-11 09:00:00,37744,2017-08-11,9,Friday,8
2017-08-11 10:00:00,37309,2017-08-11,10,Friday,8
2017-08-11 11:00:00,37249,2017-08-11,11,Friday,8
2017-08-11 12:00:00,39173,2017-08-11,12,Friday,8
2017-08-11 13:00:00,43929,2017-08-11,13,Friday,8
2017-08-11 14:00:00,45736,2017-08-11,14,Friday,8
2017-08-11 15:00:00,43101,2017-08-11,15,Friday,8
2017-08-11 16:00:00,45675,2017-08-11,16,Friday,8
2017-08-11 17:00:00,48914,2017-08-11,17,Friday,8
2017-08-11 18:00:00,53074,2017-08-11,18,Friday,8
2017-08-11 19:00:00,55654,2017-08-11,19,Friday,8
2017-08-11 20:00:00,55847,2017-08-11,20,Friday,8
2017-08-11 21:00:00,57906,2017-08-11,21,Friday,8
2017-08-11 22:00:00,54368,2017-08-11,22,Friday,8
2017-08-11 23:00:00,52847,2017-08-11,23,Friday,8
2017-08-12 00:00:00,51195,2017-08-12,0,Saturday,8
2017-08-12 01:00:00,48750,2017-08-12,1,Saturday,8
2017-08-12 02:00:00,46157,2017-08-12,2,Saturday,8
2017-08-12 03:00:00,44152,2017-08-12,3,Saturday,8
2017-08-12 04:00:00,41617,2017-08-12,4,Saturday,8
2017-08-12 05:00:00,40368,2017-08-12,5,Saturday,8
2017-08-12 06:00:00,38195,2017-08-12,6,Saturday,8
2017-08-12 07:00:00,37654,2017-08-12,7,Saturday,8
2017-08-12 08:00:00,37075,2017-08-12,8,Saturday,8
2017-08-12 09:00:00,36395,2017-08-12,9,Saturday,8
2017-08-12 10:00:00,35038,2017-08-12,10,Saturday,8
2017-08-12 11:00:00,35542,2017-08-12,11,Saturday,8
2017-08-12 12:00:00,37641,2017-08-12,12,Saturday,8
2017-08-12 13:00:00,39915,2017-08-12,13,Saturday,8
2017-08-12 14:00:00,41418,2017-08-12,14,Saturday,8
2017-08-12 15:00:00,40517,2017-08-12,15,Saturday,8
2017-08-12 16:00:00,43129,2017-08-12,16,Saturday,8
2017-08-12 17:00:00,47882,2017-08-12,17,Saturday,8
2017-08-12 18:00:00,50523,2017-08-12,18,Saturday,8
2017-08-12 19:00:00,53589,2017-08-12,19,Saturday,8
2017-08-12 20:00:00,54459,2017-08-12,20,Saturday,8
2017-08-12 21:00:00,54278,2017-08-12,21,Saturday,8
2017-08-12 22:00:00,53803,2017-08-12,22,Saturday,8
2017-08-12 23:00:00,54193,2017-08-12,23,Saturday,8
2017-08-13 00:00:00,52997,2017-08-13,0,Sunday,8
2017-08-13 01:00:00,50320,2017-08-13,1,Sunday,8
2017-08-13 02:00:00,49234,2017-08-13,2,Sunday,8
2017-08-13 03:00:00,46974,2017-08-13,3,Sunday,8
2017-08-13 04:00:00,42214,2017-08-13,4,Sunday,8
2017-08-13 05:00:00,40982,2017-08-13,5,Sunday,8
2017-08-13 06:00:00,40134,2017-08-13,6,Sunday,8
2017-08-13 07:00:00,38963,2017-08-13,7,Sunday,8
2017-08-13 08:00:00,38333,2017-08-13,8,Sunday,8
2017-08-13 09:00:00,37828,2017-08-13,9,Sunday,8
2017-08-13 10:00:00,36635,2017-08-13,10,Sunday,8
2017-08-13 11:00:00,36676,2017-08-13,11,Sunday,8
2017-08-13 12:00:00,38701,2017-08-13,12,Sunday,8
2017-08-13 13:00:00,41202,2017-08-13,13,Sunday,8
2017-08-13 14:00:00,42522,2017-08-13,14,Sunday,8
2017-08-13 15:00:00,41457,2017-08-13,15,Sunday,8
2017-08-13 16:00:00,44820,2017-08-13,16,Sunday,8
2017-08-13 17:00:00,49259,2017-08-13,17,Sunday,8
2017-08-13 18:00:00,53421,2017-08-13,18,Sunday,8
2017-08-13 19:00:00,56256,2017-08-13,19,Sunday,8
2017-08-13 20:00:00,56837,2017-08-13,20,Sunday,8
2017-08-13 21:00:00,56380,2017-08-13,21,Sunday,8
2017-08-13 22:00:00,57130,2017-08-13,22,Sunday,8
2017-08-13 23:00:00,57045,2017-08-13,23,Sunday,8
2017-08-14 00:00:00,54473,2017-08-14,0,Monday,8
2017-08-14 01:00:00,51735,2017-08-14,1,Monday,8
2017-08-14 02:00:00,47832,2017-08-14,2,Monday,8
2017-08-14 03:00:00,46125,2017-08-14,3,Monday,8
2017-08-14 04:00:00,43938,2017-08-14,4,Monday,8
2017-08-14 05:00:00,41746,2017-08-14,5,Monday,8
2017-08-14 06:00:00,39270,2017-08-14,6,Monday,8
2017-08-14 07:00:00,39863,2017-08-14,7,Monday,8
2017-08-14 08:00:00,39664,2017-08-14,8,Monday,8
2017-08-14 09:00:00,39069,2017-08-14,9,Monday,8
2017-08-14 10:00:00,38009,2017-08-14,10,Monday,8
2017-08-14 11:00:00,38987,2017-08-14,11,Monday,8
2017-08-14 12:00:00,42017,2017-08-14,12,Monday,8
2017-08-14 13:00:00,45177,2017-08-14,13,Monday,8
2017-08-14 14:00:00,49221,2017-08-14,14,Monday,8
2017-08-14 15:00:00,45457,2017-08-14,15,Monday,8
2017-08-14 16:00:00,48104,2017-08-14,16,Monday,8
2017-08-14 17:00:00,53905,2017-08-14,17,Monday,8
2017-08-14 18:00:00,56028,2017-08-14,18,Monday,8
2017-08-14 19:00:00,59461,2017-08-14,19,Monday,8
2017-08-14 20:00:00,58741,2017-08-14,20,Monday,8
2017-08-14 21:00:00,60140,2017-08-14,21,Monday,8
2017-08-14 22:00:00,59425,2017-08-14,22,Monday,8
2017-08-14 23:00:00,57317,2017-08-14,23,Monday,8
2017-08-15 00:00:00,55352,2017-08-15,0,Tuesday,8
2017-08-15 01:00:00,52462,2017-08-15,1,Tuesday,8
2017-08-15 02:00:00,50062,2017-08-15,2,Tuesday,8
2017-08-15 03:00:00,46576,2017-08-15,3,Tuesday,8
2017-08-15 04:00:00,44367,2017-08-15,4,Tuesday,8
2017-08-15 05:00:00,41022,2017-08-15,5,Tuesday,8
2017-08-15 06:00:00,40087,2017-08-15,6,Tuesday,8
2017-08-15 07:00:00,38389,2017-08-15,7,Tuesday,8
2017-08-15 08:00:00,39167,2017-08-15,8,Tuesday,8
2017-08-15 09:00:00,38461,2017-08-15,9,Tuesday,8
2017-08-15 10:00:00,37254,2017-08-15,10,Tuesday,8
2017-08-15 11:00:00,39040,2017-08-15,11,Tuesday,8
2017-08-15 12:00:00,42351,2017-08-15,12,Tuesday,8
2017-08-15 13:00:00,45391,2017-08-15,13,Tuesday,8
2017-08-15 14:00:00,47076,2017-08-15,14,Tuesday,8
2017-08-15 15:00:00,45753,2017-08-15,15,Tuesday,8
2017-08-15 16:00:00,50391,2017-08-15,16,Tuesday,8
2017-08-15 17:00:00,55109,2017-08-15,17,Tuesday,8
2017-08-15 18:00:00,60423,2017-08-15,18,Tuesday,8
2017-08-15 19:00:00,65408,2017-08-15,19,Tuesday,8
2017-08-15 20:00:00,65917,2017-08-15,20,Tuesday,8
2017-08-15 21:00:00,66821,2017-08-15,21,Tuesday,8
2017-08-15 22:00:00,64289,2017-08-15,22,Tuesday,8
2017-08-15 23:00:00,64800,2017-08-15,23,Tuesday,8
2017-08-16 00:00:00,63110,2017-08-16,0,Wednesday,8
2017-08-16 01:00:00,59715,2017-08-16,1,Wednesday,8
2017-08-16 02:00:00,56761,2017-08-16,2,Wednesday,8
2017-08-16 03:00:00,53584,2017-08-16,3,Wednesday,8
2017-08-16 04:00:00,51671,2017-08-16,4,Wednesday,8
2017-08-16 05:00:00,51141,2017-08-16,5,Wednesday,8
2017-08-16 06:00:00,49973,2017-08-16,6,Wednesday,8
2017-08-16 07:00:00,48750,2017-08-16,7,Wednesday,8
2017-08-16 08:00:00,45889,2017-08-16,8,Wednesday,8
2017-08-16 09:00:00,42085,2017-08-16,9,Wednesday,8
2017-08-16 10:00:00,41547,2017-08-16,10,Wednesday,8
2017-08-16 11:00:00,43029,2017-08-16,11,Wednesday,8
2017-08-16 12:00:00,44404,2017-08-16,12,Wednesday,8
2017-08-16 13:00:00,46437,2017-08-16,13,Wednesday,8
2017-08-16 14:00:00,48226,2017-08-16,14,Wednesday,8
2017-08-16 15:00:00,47698,2017-08-16,15,Wednesday,8
2017-08-16 16:00:00,50647,2017-08-16,16,Wednesday,8
2017-08-16 17:00:00,55686,2017-08-16,17,Wednesday,8
2017-08-16 18:00:00,59281,2017-08-16,18,Wednesday,8
2017-08-16 19:00:00,61611,2017-08-16,19,Wednesday,8
2017-08-16 20:00:00,63568,2017-08-16,20,Wednesday,8
2017-08-16 21:00:00,64997,2017-08-16,21,Wednesday,8
2017-08-16 22:00:00,65743,2017-08-16,22,Wednesday,8
2017-08-16 23:00:00,65897,2017-08-16,23,Wednesday,8
2017-08-17 00:00:00,65243,2017-08-17,0,Thursday,8
2017-08-17 01:00:00,62652,2017-08-17,1,Thursday,8
2017-08-17 02:00:00,60443,2017-08-17,2,Thursday,8
2017-08-17 03:00:00,55877,2017-08-17,3,Thursday,8
2017-08-17 04:00:00,52191,2017-08-17,4,Thursday,8
2017-08-17 05:00:00,51879,2017-08-17,5,Thursday,8
2017-08-17 06:00:00,51308,2017-08-17,6,Thursday,8
2017-08-17 07:00:00,50478,2017-08-17,7,Thursday,8
2017-08-17 08:00:00,48716,2017-08-17,8,Thursday,8
2017-08-17 09:00:00,46045,2017-08-17,9,Thursday,8
2017-08-17 10:00:00,44287,2017-08-17,10,Thursday,8
2017-08-17 11:00:00,45138,2017-08-17,11,Thursday,8
2017-08-17 12:00:00,48316,2017-08-17,12,Thursday,8
2017-08-17 13:00:00,51719,2017-08-17,13,Thursday,8
2017-08-17 14:00:00,54545,2017-08-17,14,Thursday,8
2017-08-17 15:00:00,53181,2017-08-17,15,Thursday,8
2017-08-17 16:00:00,57068,2017-08-17,16,Thursday,8
2017-08-17 17:00:00,61956,2017-08-17,17,Thursday,8
2017-08-17 18:00:00,64696,2017-08-17,18,Thursday,8
2017-08-17 19:00:00,66608,2017-08-17,19,Thursday,8
2017-08-17 20:00:00,68997,2017-08-17,20,Thursday,8
2017-08-17 21:00:00,67444,2017-08-17,21,Thursday,8
2017-08-17 22:00:00,65921,2017-08-17,22,Thursday,8
2017-08-17 23:00:00,67124,2017-08-17,23,Thursday,8
2017-08-18 00:00:00,68053,2017-08-18,0,Friday,8
2017-08-18 01:00:00,63729,2017-08-18,1,Friday,8
2017-08-18 02:00:00,61150,2017-08-18,2,Friday,8
2017-08-18 03:00:00,61624,2017-08-18,3,Friday,8
2017-08-18 04:00:00,56647,2017-08-18,4,Friday,8
2017-08-18 05:00:00,58629,2017-08-18,5,Friday,8
2017-08-18 06:00:00,43322,2017-08-18,6,Friday,8
2017-08-18 07:00:00,43067,2017-08-18,7,Friday,8
2017-08-18 08:00:00,43812,2017-08-18,8,Friday,8
2017-08-18 09:00:00,42081,2017-08-18,9,Friday,8
2017-08-18 10:00:00,40834,2017-08-18,10,Friday,8
2017-08-18 11:00:00,41801,2017-08-18,11,Friday,8
2017-08-18 12:00:00,42560,2017-08-18,12,Friday,8
2017-08-18 13:00:00,44807,2017-08-18,13,Friday,8
2017-08-18 14:00:00,46609,2017-08-18,14,Friday,8
2017-08-18 15:00:00,45232,2017-08-18,15,Friday,8
2017-08-18 16:00:00,48470,2017-08-18,16,Friday,8
2017-08-18 17:00:00,52896,2017-08-18,17,Friday,8
2017-08-18 18:00:00,57816,2017-08-18,18,Friday,8
2017-08-18 19:00:00,60820,2017-08-18,19,Friday,8
2017-08-18 20:00:00,63967,2017-08-18,20,Friday,8
2017-08-18 21:00:00,64613,2017-08-18,21,Friday,8
2017-08-18 22:00:00,63230,2017-08-18,22,Friday,8
2017-08-18 23:00:00,60756,2017-08-18,23,Friday,8
2017-08-19 00:00:00,61422,2017-08-19,0,Saturday,8
2017-08-19 01:00:00,54417,2017-08-19,1,Saturday,8
2017-08-19 02:00:00,53281,2017-08-19,2,Saturday,8
2017-08-19 03:00:00,51423,2017-08-19,3,Saturday,8
2017-08-19 04:00:00,48070,2017-08-19,4,Saturday,8
2017-08-19 05:00:00,45116,2017-08-19,5,Saturday,8
2017-08-19 06:00:00,43634,2017-08-19,6,Saturday,8
2017-08-19 07:00:00,42900,2017-08-19,7,Saturday,8
2017-08-19 08:00:00,43352,2017-08-19,8,Saturday,8
2017-08-19 09:00:00,42144,2017-08-19,9,Saturday,8
2017-08-19 10:00:00,40208,2017-08-19,10,Saturday,8
2017-08-19 11:00:00,41352,2017-08-19,11,Saturday,8
2017-08-19 12:00:00,42687,2017-08-19,12,Saturday,8
2017-08-19 13:00:00,45095,2017-08-19,13,Saturday,8
2017-08-19 14:00:00,47024,2017-08-19,14,Saturday,8
2017-08-19 15:00:00,45076,2017-08-19,15,Saturday,8
2017-08-19 16:00:00,49519,2017-08-19,16,Saturday,8
2017-08-19 17:00:00,54908,2017-08-19,17,Saturday,8
2017-08-19 18:00:00,59885,2017-08-19,18,Saturday,8
2017-08-19 19:00:00,61536,2017-08-19,19,Saturday,8
2017-08-19 20:00:00,64104,2017-08-19,20,Saturday,8
2017-08-19 21:00:00,65057,2017-08-19,21,Saturday,8
2017-08-19 22:00:00,64688,2017-08-19,22,Saturday,8
2017-08-19 23:00:00,63687,2017-08-19,23,Saturday,8
2017-08-20 00:00:00,60944,2017-08-20,0,Sunday,8
2017-08-20 01:00:00,56263,2017-08-20,1,Sunday,8
2017-08-20 02:00:00,55227,2017-08-20,2,Sunday,8
2017-08-20 03:00:00,53855,2017-08-20,3,Sunday,8
2017-08-20 04:00:00,49456,2017-08-20,4,Sunday,8
2017-08-20 05:00:00,46981,2017-08-20,5,Sunday,8
2017-08-20 06:00:00,46043,2017-08-20,6,Sunday,8
2017-08-20 07:00:00,45059,2017-08-20,7,Sunday,8
2017-08-20 08:00:00,44689,2017-08-20,8,Sunday,8
2017-08-20 09:00:00,44078,2017-08-20,9,Sunday,8
2017-08-20 10:00:00,42289,2017-08-20,10,Sunday,8
2017-08-20 11:00:00,43389,2017-08-20,11,Sunday,8
2017-08-20 12:00:00,46985,2017-08-20,12,Sunday,8
2017-08-20 13:00:00,51661,2017-08-20,13,Sunday,8
2017-08-20 14:00:00,52790,2017-08-20,14,Sunday,8
2017-08-20 15:00:00,49703,2017-08-20,15,Sunday,8
2017-08-20 16:00:00,51742,2017-08-20,16,Sunday,8
2017-08-20 17:00:00,56019,2017-08-20,17,Sunday,8
2017-08-20 18:00:00,59712,2017-08-20,18,Sunday,8
2017-08-20 19:00:00,62211,2017-08-20,19,Sunday,8
2017-08-20 20:00:00,65588,2017-08-20,20,Sunday,8
2017-08-20 21:00:00,66854,2017-08-20,21,Sunday,8
2017-08-20 22:00:00,61421,2017-08-20,22,Sunday,8
2017-08-20 23:00:00,59527,2017-08-20,23,Sunday,8
2017-08-21 00:00:00,54809,2017-08-21,0,Monday,8
2017-08-21 01:00:00,59119,2017-08-21,1,Monday,8
2017-08-21 02:00:00,55303,2017-08-21,2,Monday,8
2017-08-21 03:00:00,54370,2017-08-21,3,Monday,8
2017-08-21 04:00:00,50380,2017-08-21,4,Monday,8
