product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,sales_value,order_value,stock_gap,stock_turnover_rate,shipping_cost_per_unit,revenue_per_unit_sold,total_lead_time,total_cost_proxy,profit_proxy,stock_status,defect_level
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,15644.964499184489,1256.623654552971,-29,19.153846153846153,0.10841514014098266,2.3403271105340857,20,911.3037416995124,1419.6620603924366,shortage,medium
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,87010.04158299713,5438.127598937321,-14,20.425531914893618,0.07539905207194438,6.354108453730679,35,158.8393396203876,5941.104775961065,shortage,low
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,23927.69872932099,6053.138071405607,15,3.3267326732673266,0.015591458943347318,8.55280192268286,37,436.61534929737917,2437.1260967240623,balanced,medium
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,4023.9379360276143,775.6988792342389,32,3.074074074074074,0.19869339710642372,16.276057896537615,27,654.6073383322502,3398.131077905616,surplus,medium
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,55734.286694906805,7735.363633812688,-24,10.218181818181819,0.02615089986473503,15.397813036423134,48,937.066496780202,7716.504429689599,shortage,low
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,17347.95587152602,2552.2579000752567,-60,46.9,0.03510202497500296,11.603596557351116,22,227.40512147637492,5214.681663921298,shortage,medium
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,2113.2081907415563,588.6794245637192,-76,93.33333333333333,0.05373493058596797,23.04927845777245,27,946.8234468547959,5506.974521321489,shortage,medium
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,10264.279330523865,6924.315421385147,-40,2.739130434782609,0.04218139950861579,20.868225673375093,42,722.199490118998,1907.1969447262638,shortage,low
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,22595.04921768578,1676.406877441203,-36,56.36363636363637,0.09433097204588498,15.104312104961569,35,624.9274642896064,8739.746040786566,shortage,medium
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,9560.163706449406,4805.643788268686,-46,3.816326530612245,0.050453573221722094,13.655056604231095,30,564.4235875617355,1989.0719974294793,shortage,high
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,30829.143180788284,6551.19292591751,-41,11.428571428571429,0.13056374486657119,25.400086552659975,24,568.4358095756213,7559.59188727557,shortage,high
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,51021.21525995545,594.2570828946558,62,8.585714285714285,0.8625548241740425,11.79210099227527,35,591.1345274435372,6495.9181689138995,surplus,low
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,24468.926303667733,1743.8261958496234,8,12.277777777777779,0.1518674431892546,2.704533785697029,39,265.26048436084744,2125.547382195326,balanced,medium
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,1690.817403672888,125.40589439006075,55,4.6,0.10085715866019151,22.65567153711377,41,297.8642609562621,8560.503310055221,surplus,medium
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,868.6684470960216,8.312616718622216,2,41.8,4.870645844642184,43.29702325808563,37,808.8484239951474,8240.22943694475,balanced,high
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,5627.3668458831535,2060.7258872248167,30,1.7108433734939759,0.04290526310157169,15.315331368666577,37,539.0474025389061,1635.7296518117478,surplus,high
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,34398.77215611617,4677.453437658855,11,5.883333333333334,0.13557392960580314,10.528309705082258,24,640.3466948366375,3076.146631057399,balanced,medium
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,32580.191005965513,5738.556370368926,-15,7.333333333333333,0.11946372504835603,7.631980748795408,21,780.3941781787239,1906.0630453972599,shortage,medium
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,944.5262340052736,57.534592934331386,24,8.040816326530612,0.4124225211695509,15.526204606812163,26,192.76454983058787,5924.560065253404,surplus,low
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,16052.232473857455,4250.9864654088915,-22,5.5,0.12091004694622434,32.881040294929555,19,812.3292246721709,7506.573969945007,shortage,high
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,2623.4749618421306,280.80007236842374,25,5.360655737704918,0.25584366615194326,8.459762589804553,63,940.6704099625883,1825.6719569035006,surplus,low
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,8542.362032688741,2237.2852942756226,-38,24.0,0.06090138556775924,57.47104227809165,29,672.3100132450062,8982.825089474392,shortage,medium
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,61862.9600282279,5069.43590500203,25,8.677777777777777,0.10311101408185287,12.255506385823074,24,797.4654815698659,8774.085005757956,surplus,medium
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,39913.98796009585,6155.566325014783,-91,123.2,0.05113968950985937,8.360386932480578,49,399.9669935362038,4750.031356871833,shortage,high
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,22555.490582565162,786.8194389266916,-20,301.0,0.04854702718200567,15.05267590615901,43,522.1317608193749,8539.579134688349,shortage,low
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,38146.04628054135,7221.411879389787,-43,10.44186046511628,0.06221399988620482,14.568662237867406,37,616.713448265427,5924.615896537038,shortage,low
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,9449.921483340151,274.76407220511345,-10,50.68421052631579,0.07528397382711004,7.864384691431707,45,451.44828975250175,7121.954168096232,shortage,high
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,22534.050496767617,491.39673980490136,4,37.03846153846154,0.07298358445668718,2.532024849916956,32,219.8089007822602,2218.5310296877688,balanced,medium
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,36713.531131309,4582.681900078286,-19,10.071428571428571,0.10495376633237759,13.747968851373662,18,354.83949503138365,9337.478545187048,shortage,low
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,3366.435998784893,650.3342270379907,44,2.2278481012658227,0.1636030523185407,10.866282176708868,38,668.2413057596452,1244.2243573411156,surplus,medium
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,75145.14875148733,3141.115542666673,51,10.252747252747254,0.18537423435221728,6.136076474229652,29,625.2177262246458,5099.741624231619,surplus,high
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,55106.99013811634,3766.3050813820523,26,8.553846153846154,0.1519279932570172,9.930225285990957,34,376.62969942384893,5144.575559587123,surplus,low
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,7212.0209802500995,2652.162554027456,-35,6.739130434782608,0.13203944433072823,11.868447908753316,38,739.6061894684153,1100.0032363883486,shortage,high
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,7022.476522232925,998.1781009862854,-49,16.16216216216216,0.04345907374574652,9.594357189162245,61,746.0155069850615,4991.410092133961,shortage,low
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,47195.971849148445,3697.6169457439482,-59,65.64285714285714,0.10524235635245408,7.7826834052617135,43,640.5848258974921,6511.7012235380225,shortage,medium
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,810.8193127935722,1756.7751777194064,41,0.2553191489361702,0.10029144247522903,219.49820031293837,38,566.8333964771775,4701.1234110333435,surplus,high
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,23263.615984704564,162.4932431993334,86,9.236559139784946,0.6784926395140137,2.9764462871171085,60,461.82924616009996,2094.938114473496,surplus,high
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,87098.04365165182,4881.31892992774,-47,182.0,0.1760539363911759,7.790631043883721,44,610.2940987178304,6479.1801512163565,shortage,low
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,2205.03078837986,684.3198998420255,21,0.9354838709677419,0.7884259062839043,255.07141395128207,37,798.8741106933899,6598.19689389379,surplus,medium
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,7810.893407358364,710.0812188507604,88,1.010204081632653,0.2784023369889906,80.82437582342426,58,353.54360499685805,7648.069601522144,surplus,medium
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,8990.805539620313,1164.6857097138477,-51,19.78125,0.07619342579239013,9.33789161085134,54,547.675269131551,5363.210120537347,shortage,high
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,4111.917189759107,1388.43957056801,48,1.5247524752475248,0.09198077996053203,64.06795751934867,33,713.9556464819635,9152.509811497732,surplus,medium
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,80386.10031830137,1078.350126221116,53,12.615384615384615,0.7846411072517224,11.50702757184406,39,620.6964001667495,8815.06620874538,surplus,medium
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,7342.6359121138385,1638.4394184055673,42,2.4948453608247423,0.0187682697425166,34.01791251828852,45,835.0953862260448,7397.239443199776,surplus,medium
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,19372.963245669813,1899.9208327746921,-28,18.294117647058822,0.07057546674242027,9.78781588414929,54,848.5611234292977,5239.460356511561,shortage,medium
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,55978.39589689339,878.4056417486837,86,7.153061224489796,0.4558513595482643,4.17357370942056,21,358.35083816412623,2567.3243321396862,surplus,high
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,1951.7339014450342,1741.8700410746003,-58,3.576923076923077,0.02137867125387638,51.25828477789395,56,846.8215229929261,3920.198961351211,shortage,medium
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,11182.747614616654,2512.423472887442,-46,37.833333333333336,0.17961879481140922,7.074303525957735,44,559.131420124988,1046.7354802674176,shortage,medium
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,53618.038994051225,2633.0287006007297,-34,81.45454545454545,0.11223724010709296,2.255747556179808,19,180.35018889076827,1840.7996214463396,shortage,medium
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,30892.94480029211,1659.5383570404852,74,4.792079207920792,0.28052779218722035,2.1934267004406776,27,321.7687584504805,739.8497645628075,surplus,low
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,6470.650609671707,1226.0180102535865,-31,9.047619047619047,0.06085233552919881,23.326537762069567,59,521.7635229483744,8342.32082663806,shortage,medium
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,6087.363738685506,1873.0349965186172,-4,3.5454545454545454,0.25084278951449857,58.851191033301305,42,252.09926263482026,6633.490088261432,shortage,high
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,19655.015568008588,2911.854158223495,46,3.103448275862069,0.1822925347194194,14.443506791589718,23,349.186859873057,3550.559973856167,surplus,medium
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,3202.274689180813,130.17376785287857,44,4.472727272727273,0.245793352798733,17.30467130426921,33,709.8191153700352,3547.13002548019,surplus,high
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,12010.968811490133,6722.557170610149,-2,1.8108108108108107,0.06113804624259536,63.124857301247594,39,784.5034805752294,7674.2273977919485,shortage,low
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,15399.85676343591,1819.676729158729,3,7.879310344827586,0.12186187681267768,18.28135598792559,53,564.0368677626788,7790.5428187193165,balanced,high
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,18328.54832086931,494.6625257052797,-6,50.285714285714285,0.11663909098796651,11.885968207414992,53,438.1439280455092,7929.577689974645,shortage,high
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,45018.53679760255,6230.6356971340765,-59,39.46153846153846,0.12884241612268493,18.46744255849578,29,185.47748907647576,9288.320543431859,shortage,low
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,6182.885418394822,2200.0451182018387,-58,163.0,0.02059054939456895,21.780481182705472,34,398.01413654645046,3152.2042962345413,shortage,medium
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,28036.285072222665,1481.3692699608844,68,5.322916666666667,0.35945506630075363,3.4293171966421228,11,294.99625881144414,1457.3848286726807,surplus,medium
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,1533.2653383698805,1054.119920129293,-12,2.909090909090909,0.2870780797545783,219.2152496001059,32,201.02939832707298,6813.8585888763155,shortage,medium
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,4065.0366246704543,165.91986223144713,50,8.272727272727273,0.3549303968097121,12.84197344650776,18,445.05693568376796,7735.280149741675,surplus,medium
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,43117.71635481242,6945.740919080663,-20,8.241379310344827,0.08570927480116292,5.508623391866645,49,740.3046769011171,1892.817304411139,shortage,high
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,31444.131630489224,5534.167166966104,-49,20.833333333333332,0.02292328540781935,21.09569844304183,34,914.855975764191,6996.030940376495,shortage,high
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,2865.690317863804,3.170011413566155,40,21.523809523809526,5.237654650037448,6.316311168107618,20,427.37116358970866,5282.574132379578,surplus,low
